start_year,end_year,name,region,deaths_estimate,sources_notes
1896,1896,Eastern North America heat wave,North America,1500,"~1500 deaths in NYC; pre-AC era"
1901,1901,US heat wave 1901,North America,9500,"~9500 deaths; St. Louis severely hit"
1911,1911,Eastern US heat wave,North America,2000,""
1936,1936,North American heat wave,North America,5000,"Dust Bowl era; Toronto + US Midwest"
1980,1980,US heat wave (Central+South),North America,1700,"Texas/Oklahoma; ~1700 deaths"
1987,1987,Greek heat wave,Europe,1000,""
1995,1995,Chicago heat wave,North America,739,"Famous case study; ~700 deaths in 5 days"
1998,1998,India heat wave,South Asia,2541,"Andhra Pradesh primarily"
2003,2003,European heat wave,Europe,70000,"Worst since 1500; France/Italy/UK/Spain heavily affected"
2006,2006,US-Canada heat wave,North America,225,"California Central Valley"
2007,2007,Southeast Europe heat wave,Europe,1000,"Balkans + Greece + Italy"
2010,2010,Russian heat wave + wildfires,Russia,56000,"Worst in 130 years; wheat export ban; Moscow smoke"
2015,2015,India-Pakistan heat wave,South Asia,3500,"~2000 India + ~1500 Pakistan"
2015,2015,European heat wave,Europe,3000,"Less severe than 2003 but still deadly"
2018,2018,Northern Hemisphere heat (Japan),East Asia,1200,"Japan + Korea + China severe"
2019,2019,European heat waves,Europe,2500,"Two heat waves in summer 2019"
2020,2020,Siberian heat wave,Russia,,"Verkhoyansk record 38°C above Arctic Circle"
2021,2021,Pacific Northwest heat dome,North America,1037,"Portland 116°F; ~1000+ excess deaths"
2022,2022,European heat waves,Europe,61672,"Multiple waves; record droughts; ~62k excess deaths"
2022,2022,Indian heat wave,South Asia,90,"April-May; record March heat"
2023,2023,Mediterranean heat wave (Cerberus),Europe,3000,"July; Italy/Greece/Spain >45°C"
2023,2023,Texas heat wave,North America,200,"Multi-month extreme heat"
2024,2024,Mexico/Central America heat,Central America,500,"April-June; Mexican howler monkey deaths"
2024,2024,Hajj heat wave,Middle East,1300,"Mecca pilgrimage; record 51.8°C in shade"
2024,2024,European heat wave,Europe,1000,"July-August"
